BAD,LOAN,LOANDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,APPDATE,CITY,STATE,DIVISION,REGION
1.0,1100.0,2586.0,3902.5,CarImp,Other,10.5,0.0,0.0,94.366666667,1.0,9.0,,2020-05-05,oregon,Wisconsin,East North Central,Midwest
1.0,1300.0,7005.3,6840.0,CarImp,Other,7.0,0.0,2.0,121.83333333,0.0,14.0,,2020-11-10,churchton,Maryland,South Atlantic,South
1.0,1500.0,1350.0,1670.0,CarImp,Other,4.0,0.0,0.0,149.46666667,1.0,10.0,,2018-07-31,orcas,Washington,Pacific,West
1.0,1500.0,,,,,,,,,,,,2020-10-25,hastings,Florida,South Atlantic,South
0.0,1700.0,9780.0,11200.0,CarImp,Office,3.0,0.0,0.0,93.333333333,0.0,14.0,,2021-02-18,wilmington,California,Pacific,West
1.0,1700.0,3054.8,4032.0,CarImp,Other,9.0,0.0,0.0,101.46600191,1.0,8.0,37.113613558,2018-12-16,olympia,Washington,Pacific,West
1.0,1800.0,4864.9,5703.7,CarImp,Other,5.0,3.0,2.0,77.1,1.0,17.0,,2020-01-22,williston,Florida,South Atlantic,South
1.0,1800.0,2850.2,4303.4,CarImp,Other,11.0,0.0,0.0,88.766029879,0.0,8.0,36.884894093,2019-09-12,longview,Washington,Pacific,West
1.0,2000.0,3270.0,4674.0,CarImp,Other,3.0,0.0,2.0,216.93333333,1.0,12.0,,2019-06-24,elma,Washington,Pacific,West
1.0,2000.0,,6225.0,CarImp,Sales,16.0,0.0,0.0,115.8,0.0,13.0,,2019-06-13,montclair,New Jersey,Middle Atlantic,Northeast
1.0,2000.0,2260.8,,,,18.0,,,,,,,2020-07-20,whittier,California,Pacific,West
1.0,2000.0,2062.7,2980.0,CarImp,Office,11.0,0.0,1.0,122.53333333,1.0,9.0,,2017-04-10,orlando,Florida,South Atlantic,South
1.0,2000.0,4500.0,5500.0,CarImp,Other,3.0,0.0,0.0,86.066666667,2.0,25.0,,2021-06-07,elm grove,Wisconsin,East North Central,Midwest
0.0,2000.0,6453.6,8740.0,,Mgr,2.5,0.0,0.0,147.13333333,0.0,24.0,,2021-06-22,hatboro,Pennsylvania,Middle Atlantic,Northeast
1.0,2100.0,7100.0,8385.0,CarImp,Other,8.0,0.0,1.0,123.0,0.0,16.0,,2017-11-05,linden,Michigan,East North Central,Midwest
1.0,2200.0,2428.0,3468.7,CarImp,Other,,0.0,1.0,300.86666667,0.0,8.0,,2019-01-31,wildomar,California,Pacific,West
1.0,2200.0,9095.7,10260.0,CarImp,Mgr,7.0,2.0,6.0,122.9,1.0,22.0,,2019-12-17,minier,Illinois,East North Central,Midwest
1.0,2200.0,2303.0,,,,19.0,,,,,,3.7113122995,2019-04-18,los banos,California,Pacific,West
1.0,2300.0,2819.2,4015.0,CarImp,Other,4.5,0.0,0.0,54.6,1.0,16.0,,2019-05-18,anchorage,Alaska,Pacific,West
0.0,2300.0,10237.0,12095.3,CarImp,Office,2.0,0.0,0.0,90.992533467,0.0,13.0,31.588503178,2021-11-09,lufkin,Texas,West South Central,South
1.0,2300.0,3762.6,4620.0,CarImp,Other,3.0,0.0,1.0,122.26666667,1.0,14.0,,2017-08-14,waymart,Pennsylvania,Middle Atlantic,Northeast
1.0,2400.0,5000.0,7339.5,CarImp,ProfExe,5.0,1.0,0.0,,1.0,0.0,,2021-11-18,hemet,California,Pacific,West
1.0,2400.0,2800.0,4080.0,CarImp,Mgr,12.0,0.0,0.0,67.2,2.0,22.0,,2017-05-26,new ulm,Minnesota,West North Central,Midwest
